"","variable","relative_importance","scaled_importance","percentage"
"1","account_age",1,1,0.0885266619496543
"2","profile_banner_default.1",0.712610960006714,0.712610960006714,0.063085069558133
"3","favourites_statuses_ratio",0.659577608108521,0.659577608108521,0.0583902039425845
"4","sd_sentiment",0.571090459823608,0.571090459823608,0.0505567320794772
"5","friends_follower_ratio",0.513443768024445,0.513443768024445,0.0454534628820567
"6","friends_count",0.504020512104034,0.504020512104034,0.0446192534907255
"7","favourites_count",0.502721071243286,0.502721071243286,0.0445042183289225
"8","profile_banner_default.0",0.447790801525116,0.447790801525116,0.0396414249107787
"9","geo_enabled.1",0.44511541724205,0.44511541724205,0.0394045820707663
"10","followers_count",0.442941874265671,0.442941874265671,0.0392121655664633
"11","mean_n_mentions",0.356642752885818,0.356642752885818,0.0315723924215169
"12","verified.1",0.3485267162323,0.3485267162323,0.0308539067883199
"13","sd_n_mentions",0.335016846656799,0.335016846656799,0.0296579231314256
"14","profile_background_default.1",0.328787565231323,0.328787565231323,0.0291064656404833
"15","description_length",0.262915134429932,0.262915134429932,0.0232749992271265
"16","median_sentiment",0.248065665364265,0.248065665364265,0.0219604252990184
"17","reply_ratio",0.230879738926888,0.230879738926888,0.020439012599005
"18","retweet_ratio",0.230118602514267,0.230118602514267,0.0203716317331074
"19","statuses_count",0.222264811396599,0.222264811396599,0.0196763618218104
"20","geo_enabled.0",0.219032928347588,0.219032928347588,0.0193902540036697
"21","median_n_mentions",0.218833237886429,0.218833237886429,0.0193725760737202
"22","screen_name_digits",0.21232333779335,0.21232333779335,0.0187962763488542
"23","mean_sentiment",0.190541103482246,0.190541103482246,0.0168679678554869
"24","profile_background_default.0",0.1810532361269,0.1810532361269,0.016028038629497
"25","sd_n_hashtags",0.174168691039085,0.174168691039085,0.0154185728338309
"26","description_digits",0.154562935233116,0.154562935233116,0.0136829407173284
"27","listed_count",0.147103443741798,0.147103443741798,0.0130225768357602
"28","mean_word_count",0.132844835519791,0.132844835519791,0.0117603098458179
"29","mean_n_hashtags",0.127844393253326,0.127844393253326,0.0113176373836959
"30","URL_ratio",0.124925538897514,0.124925538897514,0.0110592409508586
"31","median_word_count",0.119177117943764,0.119177117943764,0.0105503524323416
"32","listed_statuses_ratio",0.117386251688004,0.117386251688004,0.0103918130207209
"33","sd_word_count",0.116725370287895,0.116725370287895,0.0103333073964247
"34","profile_image_default.1",0.109555646777153,0.109555646777153,0.00969859570691676
"35","name_length",0.103537350893021,0.103537350893021,0.00916581606166917
"36","screen_name_length",0.0972316339612007,0.0972316339612007,0.00860759199049574
"37","profile_image_default.0",0.092815987765789,0.092815987765789,0.00821668957246525
"38","name_digits",0.0862213224172592,0.0862213224172592,0.00763288586248486
"39","tweets_per_day",0.072712317109108,0.072712317109108,0.00643697871629406
"40","verified.0",0.0712516307830811,0.0712516307830811,0.0063076690316954
"41","median_n_hashtags",0.0636533126235008,0.0636533126235008,0.00563501528859632
"42","verified.missing(NA)",0,0,0
"43","profile_banner_default.missing(NA)",0,0,0
"44","profile_background_default.missing(NA)",0,0,0
"45","profile_image_default.missing(NA)",0,0,0
"46","geo_enabled.missing(NA)",0,0,0
